event_id,datetime,date,direction,event_type,intensity,x_km,y_km
E00044,2026-08-25 08:55:00,2026-08-25,Напрямок В,Артобстріл,1.0,36.3,21.2
E00033,2026-08-25 10:25:00,2026-08-25,Напрямок А,Артобстріл,2.0,8.07,32.82
E00039,2026-08-25 11:57:00,2026-08-25,Напрямок Б,Штурмові дії,3.0,17.16,23.6
E00025,2026-08-25 12:59:00,2026-08-25,Напрямок А,Удар БпЛА,2.0,8.04,28.33
E00049,2026-08-25 15:54:00,2026-08-25,Напрямок В,Штурмові дії,5.0,36.52,19.85
E00050,2026-08-25 17:27:00,2026-08-25,Напрямок Г,Артобстріл,2.0,51.43,14.85
E00032,2026-08-25 17:31:00,2026-08-25,Напрямок А,Дії ДРГ,2.0,6.59,28.78
E00047,2026-08-25 20:12:00,2026-08-25,Напрямок В,Авіаудар (КАБ),3.0,39.64,16.36
E00045,2026-08-25 21:01:00,2026-08-25,Напрямок В,Штурмові дії,2.0,41.62,18.38
E00051,2026-08-25 21:19:00,2026-08-25,Напрямок Г,Дії ДРГ,2.0,50.22,11.07
E00031,2026-08-25 21:29:00,2026-08-25,Напрямок А,Штурмові дії,2.0,12.27,28.78
E00026,2026-08-25 22:49:00,2026-08-25,Напрямок А,Удар БпЛА,1.0,8.03,29.1
E00030,2026-08-25 23:04:00,2026-08-25,Напрямок А,Удар БпЛА,1.0,9.46,28.71
E00055,2026-08-26 00:45:00,2026-08-26,Напрямок А,Штурмові дії,3.0,6.74,29.45
E00077,2026-08-26 01:39:00,2026-08-26,Напрямок Г,Удар БпЛА,2.0,49.35,11.27
E00069,2026-08-26 01:56:00,2026-08-26,Напрямок В,Артобстріл,2.0,36.76,17.19
E00067,2026-08-26 02:24:00,2026-08-26,Напрямок В,Удар БпЛА,2.0,34.32,18.28
E00062,2026-08-26 02:59:00,2026-08-26,Напрямок Б,Артобстріл,3.0,18.99,21.95
E00071,2026-08-26 04:05:00,2026-08-26,Напрямок В,Удар БпЛА,3.0,35.49,18.42
E00066,2026-08-26 04:18:00,2026-08-26,Напрямок В,Артобстріл,4.0,38.69,16.13
E00073,2026-08-26 05:25:00,2026-08-26,Напрямок В,Авіаудар (КАБ),2.0,39.48,13.44
E00064,2026-08-26 06:22:00,2026-08-26,Напрямок Б,Удар БпЛА,2.0,22.66,23.8
E00057,2026-08-26 08:59:00,2026-08-26,Напрямок А,Штурмові дії,4.0,9.85,33.66
E00065,2026-08-26 09:11:00,2026-08-26,Напрямок Б,Штурмові дії,5.0,22.18,19.95
E00074,2026-08-26 09:57:00,2026-08-26,Напрямок Г,Штурмові дії,3.0,57.08,10.45
E00059,2026-08-26 10:44:00,2026-08-26,Напрямок Б,Удар БпЛА,1.0,19.1,26.6
E00061,2026-08-26 12:21:00,2026-08-26,Напрямок Б,Удар БпЛА,1.0,19.91,24.1
E00076,2026-08-26 12:33:00,2026-08-26,Напрямок Г,Удар БпЛА,2.0,48.66,10.8
E00075,2026-08-26 12:54:00,2026-08-26,Напрямок Г,Артобстріл,1.0,55.15,9.0
E00078,2026-08-26 13:13:00,2026-08-26,Напрямок Г,Артобстріл,1.0,51.85,14.12
E00054,2026-08-26 15:23:00,2026-08-26,Напрямок А,Дії ДРГ,2.0,8.22,29.17
E00060,2026-08-26 17:16:00,2026-08-26,Напрямок Б,Авіаудар (КАБ),3.0,23.77,28.69
E00070,2026-08-26 18:09:00,2026-08-26,Напрямок В,Удар БпЛА,1.0,40.54,17.54
E00068,2026-08-26 18:15:00,2026-08-26,Напрямок В,Штурмові дії,4.0,41.4,20.6
E00056,2026-08-26 19:56:00,2026-08-26,Напрямок А,Артобстріл,2.0,2.9,29.44
E00063,2026-08-26 20:30:00,2026-08-26,Напрямок Б,Артобстріл,2.0,22.69,24.71
E00058,2026-08-26 22:05:00,2026-08-26,Напрямок А,Артобстріл,3.0,6.07,30.46
E00072,2026-08-26 23:10:00,2026-08-26,Напрямок В,Артобстріл,2.0,41.29,18.5
E00107,2026-08-27 00:19:00,2026-08-27,Напрямок В,Удар БпЛА,2.0,39.16,15.59
E00109,2026-08-27 01:24:00,2026-08-27,Напрямок В,Артобстріл,2.0,35.23,12.59
E00112,2026-08-27 02:01:00,2026-08-27,Напрямок Г,Удар БпЛА,1.0,51.87,14.17
E00083,2026-08-27 02:40:00,2026-08-27,Напрямок А,Удар БпЛА,1.0,9.87,28.19
E00102,2026-08-27 02:44:00,2026-08-27,Напрямок В,Дії ДРГ,2.0,33.23,14.89
E00099,2026-08-27 03:10:00,2026-08-27,Напрямок Б,Удар БпЛА,2.0,23.37,23.66
E00098,2026-08-27 03:18:00,2026-08-27,Напрямок Б,Авіаудар (КАБ),3.0,20.23,24.22
E00101,2026-08-27 03:27:00,2026-08-27,Напрямок В,Авіаудар (КАБ),3.0,41.02,17.65
E00091,2026-08-27 03:56:00,2026-08-27,Напрямок Б,Удар БпЛА,2.0,27.97,23.67
E00084,2026-08-27 04:24:00,2026-08-27,Напрямок А,Удар БпЛА,1.0,4.12,25.59
E00094,2026-08-27 04:41:00,2026-08-27,Напрямок Б,Штурмові дії,2.0,18.97,23.43
E00092,2026-08-27 04:52:00,2026-08-27,Напрямок Б,Удар БпЛА,2.0,20.06,22.22
E00108,2026-08-27 06:40:00,2026-08-27,Напрямок В,Дії ДРГ,2.0,37.82,18.74
E00085,2026-08-27 06:44:00,2026-08-27,Напрямок А,Удар БпЛА,2.0,7.9,30.38
E00103,2026-08-27 09:17:00,2026-08-27,Напрямок В,Удар БпЛА,3.0,38.87,22.2
E00095,2026-08-27 09:29:00,2026-08-27,Напрямок Б,Штурмові дії,3.0,17.64,24.16
E00079,2026-08-27 10:10:00,2026-08-27,Напрямок А,Штурмові дії,3.0,7.67,30.12
E00100,2026-08-27 10:59:00,2026-08-27,Напрямок В,Удар БпЛА,1.0,39.72,20.81
E00080,2026-08-27 11:11:00,2026-08-27,Напрямок А,Артобстріл,1.0,7.87,25.87
E00088,2026-08-27 11:52:00,2026-08-27,Напрямок А,Дії ДРГ,1.0,3.55,29.15
E00111,2026-08-27 12:05:00,2026-08-27,Напрямок Г,Удар БпЛА,4.0,53.0,12.72
E00087,2026-08-27 12:57:00,2026-08-27,Напрямок А,Дії ДРГ,1.0,3.73,31.79
E00090,2026-08-27 13:06:00,2026-08-27,Напрямок А,Штурмові дії,3.0,3.18,27.65
E00104,2026-08-27 13:41:00,2026-08-27,Напрямок В,Артобстріл,2.0,37.23,14.97
E00089,2026-08-27 15:50:00,2026-08-27,Напрямок А,Удар БпЛА,1.0,4.56,32.5
E00082,2026-08-27 17:06:00,2026-08-27,Напрямок А,Удар БпЛА,1.0,5.62,27.29
E00113,2026-08-27 17:13:00,2026-08-27,Напрямок Г,Дії ДРГ,2.0,52.64,15.22
E00105,2026-08-27 17:24:00,2026-08-27,Напрямок В,Удар БпЛА,2.0,38.35,20.39
E00096,2026-08-27 18:00:00,2026-08-27,Напрямок Б,Удар БпЛА,1.0,21.06,19.02
E00081,2026-08-27 18:06:00,2026-08-27,Напрямок А,Штурмові дії,2.0,7.81,32.65
E00110,2026-08-27 19:11:00,2026-08-27,Напрямок Г,Дії ДРГ,1.0,51.6,13.3
E00093,2026-08-27 19:21:00,2026-08-27,Напрямок Б,Штурмові дії,2.0,21.67,24.6
E00097,2026-08-27 19:43:00,2026-08-27,Напрямок Б,Штурмові дії,3.0,20.64,23.1
E00106,2026-08-27 20:26:00,2026-08-27,Напрямок В,Артобстріл,2.0,40.34,19.4
E00086,2026-08-27 21:20:00,2026-08-27,Напрямок А,Дії ДРГ,4.0,4.68,26.26
E00115,2026-08-28 01:15:00,2026-08-28,Напрямок А,Артобстріл,1.0,11.32,31.19
E00134,2026-08-28 03:20:00,2026-08-28,Напрямок Г,Удар БпЛА,3.0,49.84,15.46
E00127,2026-08-28 04:23:00,2026-08-28,Напрямок В,Артобстріл,3.0,39.39,19.64
E00135,2026-08-28 05:09:00,2026-08-28,Напрямок Г,Дії ДРГ,2.0,52.29,10.96
E00131,2026-08-28 06:16:00,2026-08-28,Напрямок В,Артобстріл,1.0,36.39,18.19
E00132,2026-08-28 07:27:00,2026-08-28,Напрямок В,Дії ДРГ,2.0,33.17,18.71
E00122,2026-08-28 09:24:00,2026-08-28,Напрямок Б,Штурмові дії,3.0,19.15,23.13
E00136,2026-08-28 09:42:00,2026-08-28,Напрямок Г,Дії ДРГ,1.0,50.8,17.47
E00118,2026-08-28 11:10:00,2026-08-28,Напрямок Б,Штурмові дії,5.0,28.4,24.15
E00133,2026-08-28 11:58:00,2026-08-28,Напрямок В,Удар БпЛА,2.0,36.27,16.53
E00130,2026-08-28 12:34:00,2026-08-28,Напрямок В,Артобстріл,3.0,44.34,18.05
E00119,2026-08-28 13:34:00,2026-08-28,Напрямок Б,Удар БпЛА,3.0,18.88,24.28
E00123,2026-08-28 16:27:00,2026-08-28,Напрямок Б,Удар БпЛА,3.0,19.63,23.15
E00121,2026-08-28 17:57:00,2026-08-28,Напрямок Б,Удар БпЛА,1.0,22.68,25.49
E00124,2026-08-28 18:03:00,2026-08-28,Напрямок Б,Штурмові дії,4.0,16.89,21.51
E00114,2026-08-28 18:11:00,2026-08-28,Напрямок А,Авіаудар (КАБ),4.0,3.17,27.8
E00120,2026-08-28 18:14:00,2026-08-28,Напрямок Б,Дії ДРГ,1.0,16.73,20.55
E00117,2026-08-28 19:06:00,2026-08-28,Напрямок А,Артобстріл,1.0,8.65,28.31
E00126,2026-08-28 19:36:00,2026-08-28,Напрямок Б,Штурмові дії,3.0,20.83,26.91
E00116,2026-08-28 20:38:00,2026-08-28,Напрямок А,Артобстріл,1.0,11.29,29.42
E00125,2026-08-28 21:10:00,2026-08-28,Напрямок Б,Артобстріл,4.0,21.64,25.71
E00128,2026-08-28 21:50:00,2026-08-28,Напрямок В,Артобстріл,1.0,39.18,16.22
E00129,2026-08-28 23:24:00,2026-08-28,Напрямок В,Артобстріл,1.0,30.61,20.92
E00140,2026-08-29 00:47:00,2026-08-29,Напрямок А,Артобстріл,3.0,7.06,28.4
E00138,2026-08-29 03:09:00,2026-08-29,Напрямок А,Артобстріл,1.0,12.77,25.32
E00154,2026-08-29 04:51:00,2026-08-29,Напрямок Б,Артобстріл,3.0,20.47,26.25
E00150,2026-08-29 04:51:00,2026-08-29,Напрямок Б,Авіаудар (КАБ),2.0,15.28,20.53
E00156,2026-08-29 05:52:00,2026-08-29,Напрямок В,Артобстріл,2.0,38.05,18.26
E00161,2026-08-29 06:20:00,2026-08-29,Напрямок Г,Дії ДРГ,2.0,48.58,12.44
E00149,2026-08-29 07:26:00,2026-08-29,Напрямок Б,Артобстріл,1.0,21.91,21.65
E00145,2026-08-29 07:28:00,2026-08-29,Напрямок Б,Удар БпЛА,4.0,18.12,19.9
E00143,2026-08-29 11:14:00,2026-08-29,Напрямок Б,Штурмові дії,4.0,23.25,24.98
E00152,2026-08-29 12:30:00,2026-08-29,Напрямок Б,Удар БпЛА,2.0,21.75,21.87
E00148,2026-08-29 13:52:00,2026-08-29,Напрямок Б,Штурмові дії,2.0,20.51,21.98
E00155,2026-08-29 14:16:00,2026-08-29,Напрямок Б,Штурмові дії,3.0,24.45,22.8
E00141,2026-08-29 14:51:00,2026-08-29,Напрямок А,Штурмові дії,2.0,6.82,26.41
E00146,2026-08-29 15:16:00,2026-08-29,Напрямок Б,Штурмові дії,3.0,19.7,24.22
E00160,2026-08-29 15:22:00,2026-08-29,Напрямок Г,Дії ДРГ,1.0,51.93,14.11
E00144,2026-08-29 16:07:00,2026-08-29,Напрямок Б,Артобстріл,2.0,21.17,24.5
E00157,2026-08-29 17:11:00,2026-08-29,Напрямок В,Артобстріл,2.0,34.48,20.08
E00153,2026-08-29 17:53:00,2026-08-29,Напрямок Б,Штурмові дії,2.0,19.43,27.48
E00151,2026-08-29 19:12:00,2026-08-29,Напрямок Б,Авіаудар (КАБ),3.0,16.32,22.89
E00137,2026-08-29 20:26:00,2026-08-29,Напрямок А,Штурмові дії,3.0,12.97,28.37
E00158,2026-08-29 21:40:00,2026-08-29,Напрямок В,Артобстріл,3.0,38.81,18.37
E00147,2026-08-29 21:58:00,2026-08-29,Напрямок Б,Артобстріл,2.0,21.88,26.35
E00159,2026-08-29 22:00:00,2026-08-29,Напрямок Г,Авіаудар (КАБ),2.0,51.11,12.29
E00139,2026-08-29 22:04:00,2026-08-29,Напрямок А,Артобстріл,1.0,9.94,33.35
E00142,2026-08-29 23:56:00,2026-08-29,Напрямок Б,Удар БпЛА,2.0,22.34,25.52
E00175,2026-08-30 01:32:00,2026-08-30,Напрямок В,Дії ДРГ,2.0,37.5,20.46
E00178,2026-08-30 03:24:00,2026-08-30,Напрямок В,Артобстріл,1.0,41.29,17.04
E00173,2026-08-30 06:29:00,2026-08-30,Напрямок Б,Авіаудар (КАБ),4.0,24.36,23.83
E00164,2026-08-30 07:36:00,2026-08-30,Напрямок А,Удар БпЛА,2.0,6.33,24.88
E00170,2026-08-30 09:09:00,2026-08-30,Напрямок Б,Штурмові дії,4.0,22.68,26.12
E00182,2026-08-30 09:27:00,2026-08-30,Напрямок В,Удар БпЛА,1.0,37.28,12.68
E00162,2026-08-30 10:51:00,2026-08-30,Напрямок А,Удар БпЛА,1.0,11.38,29.88
E00181,2026-08-30 11:09:00,2026-08-30,Напрямок В,Артобстріл,2.0,38.2,18.12
E00166,2026-08-30 12:16:00,2026-08-30,Напрямок А,Авіаудар (КАБ),2.0,7.4,32.85
E00168,2026-08-30 13:49:00,2026-08-30,Напрямок А,Артобстріл,1.0,6.85,32.23
E00176,2026-08-30 14:55:00,2026-08-30,Напрямок В,Удар БпЛА,3.0,38.06,17.78
E00165,2026-08-30 15:44:00,2026-08-30,Напрямок А,Удар БпЛА,3.0,8.22,32.49
E00171,2026-08-30 15:46:00,2026-08-30,Напрямок Б,Удар БпЛА,2.0,19.36,25.94
E00180,2026-08-30 15:57:00,2026-08-30,Напрямок В,Удар БпЛА,2.0,43.69,20.3
E00183,2026-08-30 16:16:00,2026-08-30,Напрямок Г,Авіаудар (КАБ),3.0,47.42,7.8
E00177,2026-08-30 17:30:00,2026-08-30,Напрямок В,Дії ДРГ,3.0,37.22,17.61
E00169,2026-08-30 17:31:00,2026-08-30,Напрямок Б,Артобстріл,1.0,22.1,22.64
E00174,2026-08-30 19:22:00,2026-08-30,Напрямок Б,Удар БпЛА,3.0,21.75,26.47
E00172,2026-08-30 20:37:00,2026-08-30,Напрямок Б,Артобстріл,4.0,27.44,19.31
E00167,2026-08-30 20:58:00,2026-08-30,Напрямок А,Удар БпЛА,3.0,4.48,33.02
E00179,2026-08-30 23:05:00,2026-08-30,Напрямок В,Удар БпЛА,1.0,39.25,16.99
E00163,2026-08-30 23:49:00,2026-08-30,Напрямок А,Дії ДРГ,2.0,8.89,31.77
E00200,2026-08-31 00:18:00,2026-08-31,Напрямок В,Дії ДРГ,2.0,38.19,17.69
E00202,2026-08-31 02:05:00,2026-08-31,Напрямок В,Удар БпЛА,1.0,35.83,18.38
E00197,2026-08-31 02:09:00,2026-08-31,Напрямок В,Дії ДРГ,2.0,37.32,16.68
E00203,2026-08-31 02:34:00,2026-08-31,Напрямок В,Удар БпЛА,3.0,30.73,16.25
E00186,2026-08-31 02:44:00,2026-08-31,Напрямок А,Штурмові дії,3.0,13.57,25.24
E00184,2026-08-31 03:52:00,2026-08-31,Напрямок А,Удар БпЛА,2.0,9.82,34.21
E00205,2026-08-31 06:50:00,2026-08-31,Напрямок Г,Удар БпЛА,2.0,50.04,9.46
E00208,2026-08-31 09:47:00,2026-08-31,Напрямок Г,Дії ДРГ,1.0,49.37,8.06
E00193,2026-08-31 10:28:00,2026-08-31,Напрямок Б,Авіаудар (КАБ),1.0,21.14,23.45
E00196,2026-08-31 10:46:00,2026-08-31,Напрямок Б,Артобстріл,1.0,24.54,24.84
E00210,2026-08-31 12:15:00,2026-08-31,Напрямок Г,Артобстріл,2.0,50.1,11.4
E00195,2026-08-31 14:04:00,2026-08-31,Напрямок Б,Артобстріл,2.0,22.42,24.53
E00192,2026-08-31 14:27:00,2026-08-31,Напрямок Б,Удар БпЛА,1.0,21.65,20.16
E00211,2026-08-31 17:37:00,2026-08-31,Напрямок Г,Артобстріл,1.0,45.0,11.19
E00185,2026-08-31 17:41:00,2026-08-31,Напрямок А,Артобстріл,2.0,9.87,29.41
E00201,2026-08-31 17:45:00,2026-08-31,Напрямок В,Удар БпЛА,3.0,42.29,18.08
E00188,2026-08-31 18:42:00,2026-08-31,Напрямок А,Штурмові дії,3.0,15.81,32.75
E00206,2026-08-31 18:52:00,2026-08-31,Напрямок Г,Дії ДРГ,1.0,51.8,12.23
E00207,2026-08-31 20:43:00,2026-08-31,Напрямок Г,Удар БпЛА,1.0,51.47,13.05
E00198,2026-08-31 20:51:00,2026-08-31,Напрямок В,Артобстріл,2.0,36.59,15.11
E00194,2026-08-31 20:52:00,2026-08-31,Напрямок Б,Штурмові дії,3.0,21.32,26.73
E00191,2026-08-31 21:13:00,2026-08-31,Напрямок Б,Удар БпЛА,3.0,24.78,26.78
E00187,2026-08-31 21:14:00,2026-08-31,Напрямок А,Удар БпЛА,3.0,5.47,29.36
E00199,2026-08-31 21:58:00,2026-08-31,Напрямок В,Удар БпЛА,1.0,41.33,18.88
E00190,2026-08-31 22:03:00,2026-08-31,Напрямок А,Удар БпЛА,3.0,10.77,29.1
E00204,2026-08-31 22:49:00,2026-08-31,Напрямок Г,Дії ДРГ,3.0,59.85,15.11
E00189,2026-08-31 23:01:00,2026-08-31,Напрямок А,Удар БпЛА,1.0,11.21,28.03
E00209,2026-08-31 23:16:00,2026-08-31,Напрямок Г,Авіаудар (КАБ),3.0,48.75,11.11
E00227,2026-09-01 00:10:00,2026-09-01,Напрямок В,Авіаудар (КАБ),3.0,35.97,18.79
E00220,2026-09-01 01:12:00,2026-09-01,Напрямок Б,Удар БпЛА,2.0,24.05,26.84
E00222,2026-09-01 01:48:00,2026-09-01,Напрямок Б,Артобстріл,2.0,20.77,26.19
E00212,2026-09-01 02:00:00,2026-09-01,Напрямок А,Артобстріл,1.0,7.53,27.95
E00231,2026-09-01 02:44:00,2026-09-01,Напрямок Г,Штурмові дії,1.0,49.29,14.96
E00225,2026-09-01 02:54:00,2026-09-01,Напрямок В,Дії ДРГ,4.0,34.05,18.57
E00217,2026-09-01 04:00:00,2026-09-01,Напрямок Б,Артобстріл,4.0,17.21,21.93
E00234,2026-09-01 06:16:00,2026-09-01,Напрямок Г,Артобстріл,1.0,52.83,9.82
E00229,2026-09-01 06:38:00,2026-09-01,Напрямок В,Артобстріл,2.0,40.86,21.04
E00226,2026-09-01 08:15:00,2026-09-01,Напрямок В,Удар БпЛА,1.0,40.53,16.83
E00233,2026-09-01 08:48:00,2026-09-01,Напрямок Г,Артобстріл,2.0,50.3,11.92
E00223,2026-09-01 09:52:00,2026-09-01,Напрямок Б,Удар БпЛА,1.0,24.13,24.53
E00218,2026-09-01 12:06:00,2026-09-01,Напрямок Б,Штурмові дії,2.0,26.18,24.54
E00219,2026-09-01 14:54:00,2026-09-01,Напрямок Б,Артобстріл,3.0,20.85,22.38
E00213,2026-09-01 15:04:00,2026-09-01,Напрямок А,Штурмові дії,3.0,10.87,28.81
E00230,2026-09-01 16:21:00,2026-09-01,Напрямок Г,Удар БпЛА,3.0,52.53,8.43
E00232,2026-09-01 17:53:00,2026-09-01,Напрямок Г,Удар БпЛА,4.0,55.21,11.75
E00215,2026-09-01 19:05:00,2026-09-01,Напрямок А,Артобстріл,2.0,3.63,30.5
E00221,2026-09-01 20:34:00,2026-09-01,Напрямок Б,Штурмові дії,4.0,24.12,20.33
E00235,2026-09-01 23:03:00,2026-09-01,Напрямок Г,Удар БпЛА,3.0,54.47,8.18
E00228,2026-09-01 23:10:00,2026-09-01,Напрямок В,Удар БпЛА,5.0,35.73,21.32
E00214,2026-09-01 23:13:00,2026-09-01,Напрямок А,Дії ДРГ,3.0,11.64,33.34
E00224,2026-09-01 23:44:00,2026-09-01,Напрямок Б,Штурмові дії,4.0,23.09,18.1
E00216,2026-09-01 23:53:00,2026-09-01,Напрямок Б,Авіаудар (КАБ),2.0,23.29,23.41
E00237,2026-09-02 00:00:00,2026-09-02,Напрямок А,Дії ДРГ,1.0,13.78,30.07
E00238,2026-09-02 02:31:00,2026-09-02,Напрямок А,Дії ДРГ,1.0,10.83,36.49
E00248,2026-09-02 04:29:00,2026-09-02,Напрямок Б,Штурмові дії,2.0,25.06,26.96
E00246,2026-09-02 04:32:00,2026-09-02,Напрямок Б,Артобстріл,2.0,23.33,22.62
E00256,2026-09-02 04:44:00,2026-09-02,Напрямок Г,Артобстріл,2.0,53.94,10.61
E00259,2026-09-02 05:49:00,2026-09-02,Напрямок Г,Удар БпЛА,1.0,57.46,14.04
E00240,2026-09-02 06:36:00,2026-09-02,Напрямок Б,Дії ДРГ,1.0,20.43,19.55
E00253,2026-09-02 07:14:00,2026-09-02,Напрямок В,Артобстріл,2.0,34.03,17.33
E00249,2026-09-02 08:27:00,2026-09-02,Напрямок В,Дії ДРГ,1.0,43.09,21.73
E00236,2026-09-02 09:13:00,2026-09-02,Напрямок А,Артобстріл,,12.97,30.69
E00243,2026-09-02 10:00:00,2026-09-02,Напрямок Б,Артобстріл,4.0,18.3,20.84
E00261,2026-09-02 10:26:00,2026-09-02,Напрямок Г,Артобстріл,1.0,57.05,9.52
E00244,2026-09-02 10:38:00,2026-09-02,Напрямок Б,Штурмові дії,3.0,17.61,21.64
E00247,2026-09-02 12:59:00,2026-09-02,Напрямок Б,Дії ДРГ,2.0,27.06,18.74
E00242,2026-09-02 15:28:00,2026-09-02,Напрямок Б,Штурмові дії,2.0,24.92,23.48
E00258,2026-09-02 15:39:00,2026-09-02,Напрямок Г,Штурмові дії,3.0,53.45,8.59
E00260,2026-09-02 16:13:00,2026-09-02,Напрямок Г,Артобстріл,3.0,47.15,15.6
E00250,2026-09-02 16:19:00,2026-09-02,Напрямок В,Удар БпЛА,1.0,37.43,12.71
E00251,2026-09-02 17:24:00,2026-09-02,Напрямок В,Артобстріл,2.0,37.47,17.74
E00257,2026-09-02 17:38:00,2026-09-02,Напрямок Г,Артобстріл,1.0,47.45,11.65
E00245,2026-09-02 18:34:00,2026-09-02,Напрямок Б,Удар БпЛА,2.0,23.99,25.37
E00255,2026-09-02 19:49:00,2026-09-02,Напрямок В,Удар БпЛА,1.0,34.05,21.49
E00252,2026-09-02 20:46:00,2026-09-02,Напрямок В,Удар БпЛА,3.0,37.86,20.9
E00241,2026-09-02 22:39:00,2026-09-02,Напрямок Б,Авіаудар (КАБ),1.0,23.31,28.82
E00262,2026-09-02 23:02:00,2026-09-02,Напрямок Г,Удар БпЛА,2.0,52.33,8.44
E00239,2026-09-02 23:11:00,2026-09-02,Напрямок А,Артобстріл,3.0,4.85,33.21
E00254,2026-09-02 23:43:00,2026-09-02,Напрямок В,Авіаудар (КАБ),3.0,43.22,16.19
E00266,2026-09-03 00:47:00,2026-09-03,Напрямок А,Дії ДРГ,1.0,5.1,30.68
E00269,2026-09-03 07:17:00,2026-09-03,Напрямок Б,Удар БпЛА,2.0,27.26,25.22
E00272,2026-09-03 07:43:00,2026-09-03,Напрямок В,Артобстріл,1.0,35.79,16.48
E00271,2026-09-03 12:17:00,2026-09-03,Напрямок В,Артобстріл,2.0,42.09,16.39
E00263,2026-09-03 12:46:00,2026-09-03,Напрямок А,Удар БпЛА,1.0,1.87,26.99
E00274,2026-09-03 13:00:00,2026-09-03,Напрямок Г,Дії ДРГ,2.0,53.35,7.87
